title;author;year;genre;pages;description
Frankenstein o el moderno prometeo;Mary Shelley;1818;Ciencia ficción/Gótico;280;Un científico crea vida artificial con consecuencias trágicas. Explora temas de responsabilidad, aislamiento y los límites de la ciencia.
Cuento de Navidad;Charles Dickens;1843;Ficción/Navideño;104;Ebenezer Scrooge, un avaro anciano, es visitado por fantasmas que le muestran su pasado, presente y futuro, transformando su vida.
El Lazarillo de Tormes;Anónimo;1554;Novela picaresca;155;Relata las desventuras de Lázaro, un niño que sirve a varios amos en la España del siglo XVI, crítica social satírica.
Breve historia del tiempo;Stephen Hawking;1988;Ciencia/Divulgación;256;Explica conceptos complejos del universo (big bang, agujeros negros) en lenguaje accesible para el público general.
El caballero de la armadura oxidada;Robert Fisher;1990;Autoayuda/Fábula;112;Alegoría sobre un caballero atrapado en su armadura que emprende un viaje de autodescubrimiento para liberarse.
Corazón;Edmondo De Amicis;1886;Literatura infantil/Novela;288;Diario de un niño italiano que narra historias sobre su escuela, familia y amigos, enfatizando valores patrióticos y humanos.
Crónica de una muerte anunciada;Gabriel García Márquez;1981;Novela/Realismo mágico;120;Reconstrucción periodística de un asesinato en un pueblo caribeño, donde todos sabían que ocurriría pero nadie lo impidió.
Diez negritos;Agatha Christie;1939;Misterio/Thriller;264;Diez invitados son asesinados uno por uno en una isla remota, según una macabra canción infantil.
Discurso del método. Meditaciones metafísicas;René Descartes;1637;Filosofía;200;Fundamento del racionalismo moderno. Propone dudar de todo para llegar a verdades ciertas: 'Pienso, luego existo'.
El arte de la guerra;Sun Tzu;Siglo V a.C.;Estrategia/Militar;112;Tratado militar clásico que explora tácticas, estrategias y filosofía de guerra aplicables a conflictos y competencia.
El arte de la prudencia;Baltasar Gracián;1647;Aforismos/Filosofía;300;300 aforismos que ofrecen consejo práctico para navegar la complejidad social y alcanzar la excelencia personal.
El corazón de las tinieblas;Joseph Conrad;1899;Novela/AVentura;110;Un marinero viaja al Congo belga en busca de Kurtz, un comerciante de marfil que ha adoptado prácticas salvajes.
El guardián entre el centeno;J.D. Salinger;1951;Novela/coming-of-age;277;Holden Caulfield, adolescente rebelde, deambula por Nueva York tras ser expulsado, cuestionando la falsedad adulta.
El malestar en la cultura;Sigmund Freud;1930;Psicología/Ensayo;120;Análisis de la tensión entre los deseos individuales y las restricciones de la civilización, fuente de neurosis.
El viejo y el mar;Ernest Hemingway;1952;Novela corta;127;Un viejo pescador cubano lucha por capturar un enorme pez espada en el Golfo de México, reflexión sobre dignidad y lucha.
El árbol de la ciencia;Pío Baroja;1911;Novela;344;Sigue la vida de Andrés Hurtado, un estudiante de medicina desencantado, en una España decadente y absurda.
Manual de Epicteto;Epicteto;c. 135;Filosofía/Estoicismo;80;Compilación de enseñanzas estoicas sobre cómo vivir con virtud, aceptar lo que no controlamos y mantener la serenidad.
Escuela de Robinsones;Jules Verne;1882;AVentura/Novela;240;Dos jóvenes naufragan en una isla desierta y deben sobrevivir usando ingenio y conocimiento, inspirado en Robinson Crusoe.
Las 48 leyes del poder;Robert Greene;1998;Autoayuda/Política;452;Análisis histórico de estrategias de poder, manipulación y control, con ejemplos de figuras históricas.
Por fin libres;Daniel Greenberg;1987;Educación;174;Libro cristiano sobre libertad espiritual y vivir según principios bíblicos.
La isla del tesoro;Robert Louis Stevenson;1883;AVentura/Novela;304;Jim Hawkins se une a una tripulación en busca de un tesoro pirata, enfrentándose al traicionero Long John Silver.
La metamorfosis;Franz Kafka;1915;Novela corta;80;Gregor Samsa despierta convertido en un insecto gigante, explorando alienación, absurdo existencial y rechazo familiar.
Las nieves del Kilimanjaro;Ernest Hemingway;1936;Cuentos/Literatura;150;Recopilación de cuentos, incluido el famoso sobre un escritor moribundo en África que reflexiona sobre su vida.
Meditaciones de Marco Aurelio;Marco Aurelio;c. 180;Filosofía/Estoicismo;256;Reflexiones personales del emperador romano sobre virtud, resiliencia, muerte y vivir conforme a la naturaleza.
Memorias del subsuelo;Fyodor Dostoyevsky;1864;Novela/Filosófica;150;Monólogo de un amargado funcionario retirado que critica el racionalismo y defiende la irracionalidad humana.
El rayo que no cesa;Miguel Hernández;1936;Poesía;120;Poemas de amor, dolor y protesta social del poeta español, escrito durante la Guerra Civil.
¿Quién se ha llevado mi queso?;Spencer Johnson;1998;Autoayuda/Fábula;96;Alegoría sobre el cambio: cuatro personajes buscan 'queso' (metáfora de metas) en un laberinto, adaptándose o resistiendo.
Rashomon y otros cuentos;Ryunosuke Akutagawa;1915;Cuentos/Literatura;200;Cuentos que exploran la naturaleza humana, verdad subjetiva y moralidad, incluyendo 'En el bosque' (base de Rashomon).
Sobre la brevedad de la vida;Séneca;c. 49 d.C.;Filosofía/Estoicismo;80;Ensayo que argumenta que la vida es suficientemente larga si se vive sabiamente, criticando el desperdicio del tiempo.
Sobre la felicidad;Séneca;c. 58 d.C.;Filosofía/Estoicismo;90;Exposición estoica sobre cómo alcanzar la felicidad mediante la virtud, el control de deseos y la aceptación del destino.
